Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,County
Agua Canyon,12M26S,SNTL ,8900,37.52,-112.27,1994,KANE
Alta Central,11J61,SNOW ,8800,40.59,-111.64,1984,SALT LAKE
Bear River RS,10J17S,SNTL ,8777,40.89,-110.83,2011,SUMMIT
Beaver Dams,11K13S,SNTL ,7990,39.14,-111.56,1980,SANPETE
Beaver Divide,11J46S,SNTL ,8280,40.61,-111.1,1979,WASATCH
Ben Lomond Peak,11H08S,SNTL ,8000,41.38,-111.94,1979,WEBER
Ben Lomond Trail,11H30S,SNTL ,5829,41.38,-111.92,1980,WEBER
Bevan's Cabin,12J02,SNOW ,6430,40.46,-112.25,1954,TOOELE
Bevans Cabin,12J02S,SNTL ,6430,40.46,-112.25,2012,TOOELE
Big Flat,12L07S,SNTL ,10349,38.3,-112.36,1979,PIUTE
Birch Crossing,12M16,SNOW ,8045,37.74,-112.84,1965,IRON
Black Flat-U.M. Ck,11L04S,SNTL ,9462,38.68,-111.6,1980,SEVIER
Black's Fork Junction,10J22,SNOW ,8870,40.96,-110.58,1961,SUMMIT
Blacks Fork Jct,10J22S,SNTL ,8870,40.96,-110.58,2011,SUMMIT
Box Creek,12L04S,SNTL ,9828,38.51,-112.02,1979,SEVIER
Brian Head,12M14,SNOW ,9972,37.68,-112.86,1965,IRON
Brian Head,12M14S,SNTL ,9972,37.68,-112.86,2011,IRON
Brighton,11J57S,SNTL ,8750,40.6,-111.58,1986,SALT LAKE
Brighton Cabin,11J58,SNOW ,8700,40.6,-111.58,1961,SALT LAKE
Brown Duck,10J30S,SNTL ,10600,40.58,-110.59,1979,DUCHESNE
Bryce Canyon,12M08,SNOW ,8000,37.63,-112.17,1935,GARFIELD
Buck Flat,11K31S,SNTL ,9430,39.13,-111.44,1979,SANPETE
Buck Pasture,10J23S,SNTL ,9700,40.84,-110.66,2012,SUMMIT
Buckboard Flat,09M01,SNOW ,8998,37.87,-109.45,1930,SAN JUAN
Buckboard Flat,09M01S,SNTL ,8998,37.87,-109.45,2012,SAN JUAN
Bug Lake,11H37S,SNTL ,7950,41.68,-111.42,1979,RICH
